"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1010560015,"439 W 46TH ST",2000,14,2000,1,1,1,0
1010560058,"452 W 47TH ST",1997,14,2000,1,1,1,0
1010570038,"406 W 48TH ST",1990,14,2000,5,5,3,0
1010580008,"445 W 48TH ST",1995,14,2000,2,2,2,0
1010580032,"707 9TH AVE",1997,14,2000,1,1,1,0
1010590005,"461 W 49TH ST",1989,14,2000,3,3,3,0
1010590010,"445 W 49TH ST",1990,14,2000,6,6,4,0
1010590028,"405 W 49TH ST",1992,14,2000,3,2,0,0
1010610016,"427 TO 437 W 51ST ST",1999,14,2000,2,2,1,0
1010620028,"407 W 52ND ST",1998,34,2000,1,1,1,0
1010620033,"789 9TH AVE",1997,14,2000,4,3,1,1
1010630034,"402 W 54TH ST",1992,14,2000,3,3,2,0
1010640055,"446 W 55TH ST",1989,14,2000,1,1,1,0
1010670012,"435 W 57TH ST",1990,14,2000,2,2,0,0
1010750136,"502 W 47TH ST",2000,14,2000,1,1,1,0
1010760036,"500 W 48TH ST",1997,14,2000,1,1,0,0
1010780060,"554 W 50TH ST",1997,14,2000,2,1,1,0
1011170050,"42 W 65TH ST",1999,14,2000,1,1,1,0
1011220040,"18 W 70TH ST",1990,14,2000,1,1,1,0
1011260014,"23 W 73RD ST",1990,14,2000,3,3,0,0
1011260038,"10 W 74TH ST",1994,14,2000,5,5,2,0
1011280061,"60 W 76TH ST",1995,14,2000,3,3,0,0
1011290047,"22 W 77TH ST",1991,14,2000,1,1,0,0
1011400133,"106 W 69TH ST",1991,14,2000,4,3,2,1
1011440010,"157 W 72ND ST",1996,14,2000,2,2,1,0
1011440043,"126 W 73RD ST",1997,14,2000,1,1,0,0
1011470033,"100 W 76TH ST",1990,14,2000,1,1,0,0
1011480001,"175 W 76TH ST",1992,14,2000,1,1,0,0
1011490030,"103 W 77TH ST",1994,14,2000,2,1,0,1
1011500037,"112 TO 118 W 79TH ST",1990,14,2000,1,1,0,0
1011500048,"140 W 79TH ST",1997,14,2000,5,3,1,2
1011500051,"146 TO 148 W 79TH ST",1996,14,2000,2,2,1,0
1011630058,"260 W 72ND ST",1993,14,2000,1,1,1,0
1011640011,"247 W 72ND ST",2000,14,2000,1,1,1,0
1011670007,"245 W 75TH ST",1992,14,2000,3,2,2,0
1011670104,"255 W 75TH ST",1996,14,2000,1,1,1,0
1011700012,"229 W 78TH ST",1992,14,2000,2,2,0,0
